amfi_code,sortino_ratio
100016,-0.4737609123834847
100025,-0.9361664680297558
100033,1.9807570292613874
101206,1.939282932029155
101207,0.07582654302337256
101208,-0.9202353836970718
102885,1.511249398283723
102886,-0.49948928595797154
102887,1.0823889558046962
118632,2.00879232527797
118633,1.171130999398446
118634,0.6100816149036126
118635,1.1676618948927464
118636,-0.5931452128194359
119092,-0.04430251683631326
119093,0.13546250412074454
119094,1.8119459660033908
119095,-0.33871954670197046
119120,-0.3448674034274569
119551,2.3585414024717277
119552,1.7198572717136942
119598,1.7360087704578837
119599,-0.29889199347840467
120503,1.397286324600922
120504,1.9459451411724802
120505,2.2296708548031887
120506,1.1021779563271468
120507,2.0421697268113226
120841,0.846184120314276
120842,-0.0037362071740073073
120843,2.639633412257016
120844,0.6799808354788145
125497,1.3790391832139253
125498,0.40440826256923645
148567,2.697214924179095
148568,1.730550734789091
148569,2.3778190350426205
149322,0.731708225699031
149323,2.044847264606172
149324,1.681816037801786
