amfi_code,n_days,annualized_return
100016,1149.0,0.025434874968783827
100025,1149.0,0.042986524949270466
100033,1149.0,0.2892786602653088
101206,1149.0,0.22626535384993396
101207,1149.0,0.07650158706195587
101208,1149.0,0.06273896744282736
102885,1149.0,0.1754041909151418
102886,1149.0,0.011304481066713112
102887,1149.0,0.1620550058321799
118632,1149.0,0.23116077255008194
118633,1149.0,0.15661395483825524
118634,1149.0,0.15756667292982707
118635,1149.0,0.15357116291589867
118636,1149.0,0.05125853868983454
119092,1149.0,0.06138099361837401
119093,1149.0,0.07610501956376337
119094,1149.0,0.271024728933271
119095,1149.0,0.014677909675495204
119120,1149.0,0.05677262981067255
119551,1149.0,0.24796597841572532
119552,1149.0,0.20696789746966338
119598,1149.0,0.3112656003244598
119599,1149.0,0.019817724717167584
120503,1149.0,0.18070820555282663
120504,1149.0,0.2239354198337271
120505,1149.0,0.31512437994004827
120506,1149.0,0.16439416926901051
120507,1149.0,0.06975241651998298
120841,1149.0,0.13028336972322685
120842,1149.0,0.06459250268658279
120843,1149.0,0.29677649274395934
120844,1149.0,0.06665013659448804
125497,1149.0,0.18293785974311172
125498,1149.0,0.10884920788755958
148567,1149.0,0.29741361253937937
148568,1149.0,0.216479764248394
148569,1149.0,0.30673611122544675
149322,1149.0,0.12894863151904712
149323,1149.0,0.28409564547344024
149324,1149.0,0.309965179599899
