amfi_code,sharpe_ratio
100016,-0.2719601211371572
100025,-0.5636899112317462
100033,1.184359111869875
101206,1.1069673098448296
101207,0.044584422232559665
101208,-0.44645868161721314
102885,0.8600715662497677
102886,-0.29609469806718347
102887,0.615895075535109
118632,1.174417833862124
118633,0.6545156567184491
118634,0.36672383223898986
118635,0.682200408801227
118636,-0.34478308259544943
119092,-0.025941468243930916
119093,0.07941632563939464
119094,1.0615936640108703
119095,-0.20075371214402105
119120,-0.20739200506522745
119551,1.3314911422389426
119552,1.0184672749439483
119598,0.9795542258744938
119599,-0.18109037554061255
120503,0.833366173051597
120504,1.1065013078923411
120505,1.2965892692566352
120506,0.6525988140603288
120507,0.96219782007608
120841,0.48488086635585537
120842,-0.002277193647775677
120843,1.458907845106572
120844,0.32146537866758573
125497,0.8040011661011212
125498,0.23892861969172138
148567,1.6374412727931258
148568,0.9817768220698294
148569,1.36774934765529
149322,0.4455152295452959
149323,1.2346087993759243
149324,0.9861640817706748
